"V1"	"V2"	"V3"	"V6"
"206757"	768513	395566	5	"2002/02/14"
"134166"	747684	370747	5	"2001/04/19"
"225312"	775280	457657	5	"2001/02/07"
"236209"	779438	391614	4	"2001/01/31"
"201646"	767228	235766	5	"2002/02/14"
"292749"	809224	489983	5	"2001/01/22"
"13762"	721172	233481	5	"2001/03/15"
"234161"	778818	420355	5	"2001/01/31"
"81207"	734449	554099	4	"2001/03/14"
"68101"	1284017796	295723	5	"2001/09/06"
"19139"	463310468	468091	5	"2001/05/18"
"223431"	774381	395340	5	"2001/02/07"
"13902"	721229	465597	5	"2001/03/15"
"104925"	2200145540	241636	3	"2001/09/12"
"257630"	790100	346156	5	"2001/08/05"
"24814"	723914	276792	4	"2002/01/13"
"113537"	739908	218579	5	"2001/07/13"
"74613"	1495043716	324657	5	"2001/09/28"
"74404"	1493864068	499932	5	"2001/09/28"
"218134"	772141	327969	5	"2001/03/09"
"215230"	771380	430252	5	"2001/03/09"
"108047"	2318241412	277629	3	"2001/09/12"
"133409"	747192	295348	5	"2001/04/19"
"6443"	719696	257386	4	"2002/02/17"
"27850"	667520644	241729	5	"2001/11/29"
"18901"	453873284	725585796	5	"2001/05/18"
"169358"	3885928068	571204	5	"2001/09/07"
"152434"	3505426052	241874	5	"2001/03/29"
"108920"	2360053380	563204	5	"2001/04/20"
"187334"	763050	210284	5	"2001/08/04"
"230397"	777317	200338	5	"2001/01/31"
"153893"	3566177924	392860	5	"2001/03/29"
"176599"	3995242116	425103236	5	"2001/03/16"
"257996"	790307	314906	3	"2001/08/05"
"174171"	3945434756	535555	5	"2002/04/10"
"191951"	764462	257170	5	"2003/01/03"
"88943"	1857392260	276792	5	"2001/07/31"
"193598"	765141	303530	5	"2003/01/03"
"266885"	795177	381276	5	"2002/02/15"
"118118"	742675	405871	5	"2001/07/13"
"185182"	762376	418816	5	"2001/09/28"
"157008"	3700330116	262893	4	"2001/11/15"
"228227"	776412	240308	5	"2001/01/31"
"292527"	809140	323374	5	"2001/01/22"
"284104"	805463	235766	5	"2002/09/15"
"275970"	799813	520734	4	"2001/11/15"
"199092"	766637	518611	4	"2001/10/06"
"133901"	747524	235717	5	"2001/04/19"
"270939"	797544	407928	5	"2001/09/28"
"199584"	766784	558451	5	"2001/10/06"
"102768"	2136510084	445422	5	"2001/08/30"
"184938"	762339	438123	4	"2001/09/28"
"123792"	743325	719309	4	"2001/05/13"
"116449"	741781	279008	5	"2001/07/13"
"126356"	745556	401356	5	"2001/05/13"
"14267"	721370	203772	5	"2001/03/15"
"196908"	766042	279544	5	"2001/10/20"
"70631"	1371246212	312810	5	"2001/03/27"
"120341"	2488635012	260558	5	"2001/05/08"
"159585"	3804073604	432466	5	"2001/06/20"
"297852"	811858	203521	4	"2001/03/08"
"174698"	3965488772	222705	5	"2001/03/16"
"138006"	3105328772	210495	5	"2001/01/18"
"67272"	731468	214201	2	"2001/09/06"
"219651"	772806	368762	5	"2001/03/09"
"114656"	740652	237062	5	"2001/07/13"
"163456"	754403	311958	4	"2001/06/20"
"45862"	962563716	208264	5	"2001/03/29"
"173393"	757067	320093	5	"2002/04/10"
"150400"	751939	380461	5	"2001/03/07"
"184617"	762269	204549	5	"2001/09/28"
"155654"	3651112580	210056	5	"2001/04/20"
"276154"	799949	483860	5	"2001/11/15"
"11927"	330665604	212234	5	"2001/10/29"
"156057"	3677916804	293179	5	"2001/09/06"
"191251"	764304	358289	5	"2001/04/27"
"89515"	1880329860	261079	4	"2001/01/21"
"92480"	736462	265568	5	"2001/01/26"
"151933"	3490287236	480167	5	"2001/03/29"
"136094"	3040185988	301949	5	"2001/06/06"
"46261"	970493572	205491	4	"2002/01/05"
"208447"	768985	250364	5	"2001/02/23"
"147152"	3284176516	356519	5	"2001/01/22"
"204172"	767896	2445905796	5	"2002/02/14"
"271019"	797584	216022	4	"2001/09/28"
"238742"	780848	523575	4	"2001/02/04"
"57544"	1234407044	216482	5	"2001/02/09"
"137128"	3073871492	413254	5	"2001/03/28"
"202922"	767575	3137834884	5	"2002/02/14"
"108522"	2334363268	342772	5	"2001/09/12"
"278372"	801412	505248	4	"2001/03/23"
"277959"	801197	200338	5	"2001/03/23"
"48314"	1020628612	301949	5	"2001/03/19"
"150535"	752022	279016	2	"2001/03/07"
"128035"	2754776708	520810	5	"2001/02/11"
"73106"	1451200132	398860	5	"2001/10/15"
"121911"	2583465604	575499	4	"2001/05/08"
"90010"	734883	301797	4	"2001/01/21"
"144168"	749526	260558	5	"2002/05/11"
"268955"	796409	533639	5	"2001/09/28"
"151131"	3444936324	205068	5	"2001/08/28"
"151625"	3471150724	212893	3	"2001/03/29"
"127633"	2738589316	212893	5	"2001/05/13"
"68852"	731853	204278	5	"2001/09/06"
"27740"	661491332	426834	3	"2001/11/29"
"45606"	955551364	816484228	5	"2001/03/29"
"136233"	3044118148	225917	5	"2001/06/06"
"181742"	761109	243427	3	"2002/02/18"
"41656"	727600	588197	5	"2003/06/14"
"194004"	765231	569572	5	"2003/01/03"
"148436"	3369307780	2414907268	5	"2001/03/07"
"189029"	763630	271603	5	"2001/08/04"
"161739"	753370	458367	4	"2001/06/20"
"117250"	742280	306044	5	"2001/07/13"
"193800"	765184	301797	5	"2003/01/03"
"117795"	742516	348827	5	"2001/07/13"
"171345"	756162	321853	5	"2001/09/07"
"281499"	803802	527304	5	"2001/02/06"
"230911"	777559	262868	5	"2001/01/31"
"31528"	725368	200500	2	"2001/08/23"
"47062"	993627780	384190	4	"2001/03/19"
"27298"	641699460	2605617028	4	"2001/11/29"
"208382"	768968	418262	5	"2001/02/23"
"145567"	750076	282870	5	"2001/08/20"
"48364"	1020628612	381452	5	"2001/03/19"
"265439"	794419	206924	4	"2001/06/21"
"46160"	968396420	204945	5	"2002/01/05"
"114443"	740468	233472	5	"2001/07/13"
"71743"	1404079748	201805	5	"2001/03/29"
"113925"	740133	282870	5	"2001/07/13"
"291753"	808885	545620	5	"2001/01/22"
"157916"	3731590788	300458	5	"2001/11/15"
"86310"	1736085124	249399	5	"2001/04/18"
"298664"	812222	488063	5	"2001/03/08"
"132771"	746617	222804	5	"2001/04/19"
"34011"	773361284	301396	4	"2001/05/11"
"29580"	683249284	265056	5	"2001/08/23"
"184307"	762184	233966	5	"2001/09/28"
"200598"	767018	200338	5	"2002/02/14"
"281473"	803774	677053	5	"2001/02/06"
"209524"	769266	257170	5	"2001/02/23"
"70514"	1367117444	201535	5	"2001/03/27"
"218272"	772182	212893	5	"2001/03/09"
"145732"	750181	205639	5	"2001/08/20"
"161078"	753014	243427	5	"2001/06/20"
"254753"	788759	317502	5	"2001/08/05"
"142960"	749074	216129	5	"2001/08/22"
"267863"	795718	304270	5	"2001/06/12"
"192048"	764481	426935	3	"2003/01/03"
"169281"	3885403780	302583	5	"2001/09/07"
"6534"	719715	298936	5	"2002/02/17"
"257601"	790082	200614	5	"2001/08/05"
"266383"	794823	351364	5	"2001/06/21"
"20931"	722099	200762	5	"2001/05/22"
"57531"	1234407044	262760	5	"2001/02/09"
"47731"	1006538372	262919	5	"2001/03/19"
"124840"	744292	200474	5	"2001/05/13"
"166176"	755802	287259	5	"2001/09/07"
"116147"	741606	315511	5	"2001/07/13"
"217341"	771996	262908	5	"2001/03/09"
"275842"	799759	380461	5	"2001/11/15"
"38694"	726556	480385	5	"2003/05/15"
"84709"	1675398788	258195	5	"2001/05/05"
"262500"	792717	359543	5	"2001/06/21"
"9572"	284003972	241261	5	"2001/04/10"
"193825"	4044787332	262430	3	"2003/01/03"
"51664"	1091473028	1558351748	5	"2001/01/19"
"32717"	726123	398175	5	"2001/08/23"
"43421"	911183492	256232	5	"2001/06/21"
"280005"	4110454404	304137	3	"2003/05/10"
"137088"	3073150596	238250	5	"2001/03/28"
"267208"	795374	448724	5	"2002/02/15"
"230379"	777306	315436	5	"2001/01/31"
"57605"	1234407044	367823	5	"2001/02/09"
"249447"	786379	210284	5	"2001/04/01"
"284114"	805463	293121	5	"2002/09/15"
"274623"	799364	366934	4	"2001/11/15"
"245690"	784553	270717	5	"2001/04/17"
"237447"	780196	268006	5	"2001/02/04"
"236142"	779397	394804	4	"2001/01/31"
"78682"	733101	222683	5	"2001/03/23"
"20932"	722099	210284	5	"2001/05/22"
"149406"	750791	269016	5	"2001/03/07"
"33531"	758288004	255181	5	"2001/05/11"
"209755"	769370	508983	4	"2001/02/23"
"41166"	727487	294260	4	"2003/05/15"
"265327"	794374	238664	5	"2001/06/21"
"78353"	732994	407665	5	"2001/03/23"
"192210"	764519	210284	4	"2003/01/03"
"284116"	805463	318977	5	"2002/09/15"
"182508"	761471	240818	5	"2002/02/18"
"179710"	760077	507051	5	"2003/06/02"
"92274"	736372	346139	3	"2001/01/26"
"55672"	1189383812	210284	4	"2001/02/09"
"25762"	724255	289830	4	"2001/06/29"
"260407"	791750	233068	4	"2001/08/05"
"144421"	749553	279109	5	"2002/05/11"
"59194"	728480	1987809156	5	"2001/02/21"
"285029"	805927	2715848580	5	"2001/10/30"
"3327"	229936772	210284	4	"2001/03/29"
"232851"	778148	450713	5	"2001/01/31"
"111127"	738354	235766	5	"2001/04/20"
"41805"	727687	280831	5	"2003/06/14"
"111858"	738796	551841	5	"2001/04/20"
"194829"	765488	336184	4	"2001/04/17"
"190294"	764041	380175	5	"2001/08/04"
"64925"	730629	235717	5	"2001/09/06"
"205987"	768325	396144	5	"2002/02/14"
"250606"	786967	355206	5	"2001/04/01"
"185764"	762497	232969	4	"2001/09/28"
"139037"	3142094468	288418	5	"2001/01/18"
"229073"	776787	339902	5	"2001/01/31"
"175447"	757626	342024	5	"2001/03/16"
"123570"	2689502852	300835	5	"2001/05/13"
"100423"	2076872324	270572	4	"2001/01/18"
"121356"	2548534916	317636	5	"2001/05/08"
"151105"	3444936324	230177	5	"2001/08/28"
"241671"	782295	243081	5	"2001/02/04"
"197336"	766207	210789	5	"2001/10/20"
"97981"	2004061828	461406	4	"2001/01/18"
"18067"	428379780	321708	4	"2001/05/18"
"45402"	953716356	225480	5	"2001/06/21"
"204228"	767928	355176	5	"2002/02/14"
"283481"	805282	296137	5	"2002/09/15"
"149334"	750581	293646	4	"2001/03/07"
"77232"	732333	243427	5	"2001/03/23"
"108053"	2322108036	210284	5	"2001/09/12"
"139286"	3143339652	539856	4	"2001/04/10"
"81161"	734447	298936	5	"2001/09/28"
"234090"	778766	501401	5	"2001/01/31"
"157280"	3704786564	380170	5	"2001/11/15"
"159937"	752334	238184	5	"2001/06/20"
"230828"	777559	644312	5	"2001/01/31"
"93177"	736957	586941	5	"2001/01/26"
"221766"	773679	509372	5	"2001/10/30"
"57874"	1237814916	349324	4	"2001/02/09"
"143178"	749074	278113	5	"2001/08/22"
"100779"	2090634884	210284	2	"2001/10/28"
"253619"	788237	338015	5	"2001/01/31"
"214219"	771029	450713	5	"2001/03/09"
"239688"	781496	203288	2	"2001/02/04"
"277771"	801084	566305	5	"2001/03/23"
"216436"	771902	536705	5	"2001/03/09"
"236045"	779370	237414	2	"2001/01/31"
"222652"	774115	202525	5	"2001/10/30"
"20775"	512069252	280831	5	"2001/05/22"
"5278"	273518212	332261	5	"2001/03/29"
"205650"	768256	243427	5	"2002/02/14"
"135241"	3018624644	240463	2	"2001/06/06"
"220873"	773347	407570	5	"2001/04/23"
"221683"	773640	239697	4	"2001/10/30"
"279875"	802549	483860	5	"2003/05/10"
"176673"	3998453380	426286	5	"2001/03/16"
"13061"	354782852	225917	4	"2001/03/15"
"283768"	805368	315231	5	"2002/09/15"
"293427"	809479	333039	2	"2001/01/22"
"9127"	720876	249622	5	"2001/04/10"
"118051"	742626	238278	4	"2001/07/13"
"264261"	793790	495672	5	"2001/06/21"
"240136"	781785	504927	5	"2001/02/04"
"56537"	1207406212	352786	3	"2001/02/09"
"72728"	1434029700	238331	5	"2002/07/31"
"175005"	3979841156	241362	4	"2001/03/16"
"99602"	2054786692	320719	5	"2001/01/18"
"62337"	729664	200500	4	"2001/08/16"
"66067"	730943	285020	4	"2001/09/06"
"236064"	4070739588	315565	5	"2001/01/31"
"115602"	741180	553461	5	"2001/07/13"
"179364"	759808	558542	2	"2003/06/02"
"140332"	3166867076	303530	3	"2001/04/10"
"17394"	406294148	322117	4	"2001/05/18"
"231338"	777596	3259142020	5	"2001/01/31"
"6573"	719715	304002	4	"2002/02/17"
"169868"	3901001348	269964	4	"2001/09/07"
"89383"	1873186436	231243	5	"2001/01/21"
"144598"	749636	533229	5	"2002/05/11"
"39521"	726823	200903	4	"2003/05/15"
"61919"	729499	351084	4	"2001/08/16"
"173808"	757207	238311	3	"2002/04/10"
"29666"	684232324	272378	5	"2001/08/23"
"78309"	732952	365973	4	"2001/03/23"
"268298"	795989	370291	5	"2001/06/12"
"6535"	719715	248171	5	"2002/02/17"
"14980"	721669	294260	5	"2001/03/15"
"205856"	768297	364763	4	"2002/02/14"
"274185"	799096	342764	5	"2001/11/15"
"182751"	761669	462652	5	"2002/02/18"
"234995"	779009	427991	5	"2001/01/31"
"98586"	2022674052	292382	5	"2001/01/18"
"154970"	3606482564	282884	5	"2001/11/28"
"217529"	772030	262908	5	"2001/03/09"
"203731"	767758	287475	5	"2002/02/14"
"232179"	777953	437158	5	"2001/01/31"
"21067"	722197	210284	5	"2001/05/22"
"261182"	792143	269964	4	"2001/08/05"
"160703"	752764	286665	5	"2001/06/20"
"118601"	742931	200338	4	"2001/07/13"
"273848"	799018	390503	5	"2001/11/15"
"272750"	798574	350765	5	"2001/09/28"
"32321"	725972	483860	5	"2001/08/23"
"76978"	732255	2501939076	5	"2001/03/23"
"156984"	3700330116	284493	5	"2001/11/15"
"258265"	790483	223418	5	"2001/08/05"
"137002"	3072364164	311603	5	"2001/03/13"
"94805"	737664	420738	4	"2001/02/17"
"279094"	802074	487718	4	"2001/03/23"
"156172"	3679358596	577518	5	"2001/09/06"
"28880"	725129	375750	5	"2002/07/13"
"93587"	737199	210621	5	"2001/01/26"
"143551"	749203	293256	5	"2001/08/22"
"183169"	761772	318099	5	"2001/09/28"
"35349"	799510148	355314	5	"2001/05/11"
"116136"	741606	527903	5	"2001/07/13"
"55727"	1191677572	705223	5	"2001/02/09"
"145096"	749928	497285	5	"2001/08/20"
"128974"	2803404420	254134	2	"2001/02/11"
"250531"	786935	262430	5	"2001/04/01"
"268463"	796108	462037	4	"2001/09/28"
"44707"	728210	320093	5	"2001/06/21"
"183787"	761971	234283	4	"2001/09/28"
"131415"	2926218884	402326	5	"2002/03/10"
"170329"	3919941252	380175	5	"2001/09/07"
"39824"	726967	295337	5	"2003/05/15"
"33824"	766545540	483860	5	"2001/05/11"
"36378"	827166340	233969	5	"2001/06/13"
"180691"	760551	271068	4	"2003/06/02"
"136486"	3053555332	365973	4	"2001/03/13"
"250214"	786744	202559	5	"2001/04/01"
"298326"	812192	450802	5	"2001/03/08"
"278687"	801683	263140	4	"2001/03/23"
"204121"	767896	259087	5	"2002/02/14"
"130703"	2891943556	1699188612	5	"2002/03/10"
"47481"	1001885316	317816	5	"2001/03/19"
"215816"	771589	205645	5	"2001/03/09"
"174075"	3942157956	560492	5	"2002/04/10"
"130769"	2899938948	319000	5	"2002/03/10"
"114356"	740463	203270	5	"2001/07/13"
"188832"	763619	301396	5	"2001/08/04"
"209761"	769383	282884	5	"2001/02/23"
"74823"	1497009796	248334	5	"2001/09/28"
"127821"	2746257028	324062	5	"2001/02/11"
"94331"	737588	361404	3	"2001/02/17"
"129404"	2818543236	210325	5	"2002/03/10"
"286547"	806535	212893	4	"2001/10/30"
"270918"	797532	424801	5	"2001/09/28"
"117671"	742500	441052	5	"2001/07/13"
"35398"	799510148	203772	5	"2001/05/11"
"116764"	742065	302444	5	"2001/07/13"
"214015"	770947	336990	5	"2001/03/09"
"221754"	773679	366089	5	"2001/10/30"
"31181"	732204676	293179	5	"2001/08/23"
"113669"	739963	209121	5	"2001/07/13"
"238539"	4073950852	338119	5	"2001/02/04"
"292670"	809176	251891	5	"2001/01/22"
"253896"	788379	451554	5	"2001/01/31"
"179100"	4030500484	539171	5	"2003/06/02"
"23407"	723552	368329	5	"2001/09/18"
"10983"	316247684	592778	5	"2001/04/10"
"73796"	1474137732	234885	5	"2001/01/26"
"39050"	726618	204418	4	"2003/05/15"
"159442"	3797716612	446576	5	"2001/06/20"
"168973"	3882389124	242696	5	"2001/09/07"
"243453"	783060	344348	5	"2001/02/04"
"119700"	2457374340	229113	5	"2001/07/13"
"98399"	2014940804	269216	5	"2001/01/18"
"126760"	745804	204953	3	"2001/05/13"
"264520"	793993	279544	5	"2001/06/21"
"30402"	698191492	349482	5	"2001/08/23"
"46842"	985697924	696291204	5	"2002/02/21"
"72070"	1411550852	211554	5	"2001/08/23"
"2163"	196972164	226985	4	"2001/03/29"
"260587"	791785	263427	4	"2001/08/05"
"193782"	765178	310391	5	"2003/01/03"
"28390"	724893	222066	5	"2001/02/22"
"164447"	754972	396144	5	"2001/06/20"
"234205"	778823	259745	4	"2001/01/31"
"270598"	797293	200338	5	"2001/09/28"
"234056"	778752	200338	5	"2001/01/31"
"6348"	719688	277629	5	"2002/02/17"
"5196"	271093380	377706	5	"2001/03/29"
"189160"	763689	210284	5	"2001/08/04"
"85883"	1723371140	255044	5	"2001/05/05"
"109083"	2375061124	236296	4	"2001/04/20"
"173527"	757070	342047	5	"2002/04/10"
"9639"	290360964	222557	4	"2001/04/10"
"164560"	755024	257170	5	"2001/06/20"
"64730"	730537	266312	5	"2001/09/06"
"240114"	781785	304137	5	"2001/02/04"
"56425"	1204981380	241362	4	"2001/02/09"
"294770"	810100	426935	5	"2001/01/22"
"76848"	1560252036	260558	4	"2001/03/23"
"8810"	720770	308017	4	"2001/04/10"
"1055"	171937412	315436	3	"2001/03/29"
"27603"	651398788	533229	5	"2001/11/29"
"279042"	802074	507073	5	"2001/03/23"
"52738"	1118342788	281871	5	"2001/01/23"
"289794"	807993	344348	5	"2001/01/22"
"21939"	722569	2646970244	4	"2001/07/11"
"222756"	774142	355044	5	"2001/02/07"
"275401"	799608	427873	2	"2001/11/15"
"216561"	771913	214227	5	"2001/03/09"
"210812"	769724	200338	5	"2001/02/23"
"228333"	776483	284327	4	"2001/01/31"
"25873"	724420	204358	5	"2001/06/29"
"93383"	737045	210284	5	"2001/01/26"
"213264"	770699	262893	5	"2001/08/22"
"92534"	736487	243030	5	"2001/01/26"
"39189"	726622	353409	5	"2003/05/15"
"178483"	759154	317856	5	"2003/06/02"
"55909"	1191677572	228845	5	"2001/02/09"
"33428"	755011204	289296	5	"2001/05/11"
"140809"	3177811588	319000	4	"2001/04/10"
"124838"	744292	264989	5	"2001/05/13"
"191434"	764306	307373	5	"2001/06/21"
"95565"	1898679940	238331	5	"2001/02/17"
"276057"	799855	259549	5	"2001/11/15"
"223993"	774604	303530	5	"2001/02/07"
"228260"	776449	312825	5	"2001/01/31"
"295373"	810334	421046	5	"2001/10/05"
"114167"	740328	242644	4	"2001/07/13"
"156039"	3677589124	263022	5	"2001/09/06"
"180373"	760302	356483	4	"2003/06/02"
"25167"	576294532	290844	4	"2001/06/29"
"227827"	776277	381135	5	"2002/07/31"
"145043"	749927	216022	5	"2001/06/23"
"84992"	1683721860	200500	5	"2001/05/05"
"290967"	808594	321190	5	"2001/01/22"
"20277"	499158660	201805	5	"2001/05/22"
"141691"	3213594244	266633	5	"2001/04/10"
"244900"	783925	502205	5	"2001/04/17"
"63476"	730074	289819	5	"2001/09/06"
"40100"	727185	415509	5	"2003/05/15"
"125901"	745191	266633	4	"2001/05/13"
"90084"	734928	201805	5	"2001/01/21"
"116526"	741856	491968	5	"2001/07/13"
"74422"	1493995140	231243	5	"2001/09/28"
"143756"	749364	210284	5	"2002/05/11"
"210774"	769718	502205	4	"2001/02/23"
"211713"	770202	401711	5	"2001/02/23"
"47781"	1007193732	262981	4	"2001/03/19"
"258959"	790746	550398	4	"2001/08/05"
"49175"	1041141380	255181	5	"2001/05/20"
"96658"	1950781060	248118	5	"2001/01/18"
"296189"	810774	545353	5	"2001/10/05"
"159942"	752334	280501	5	"2001/06/20"
"12990"	353275524	410002	4	"2001/03/15"
"5645"	278761092	307373	5	"2001/10/27"
"79399"	733718	200118	3	"2001/02/06"
"188989"	763630	372535	5	"2001/08/04"
"23662"	528715396	262893	4	"2001/09/18"
"209732"	769352	257462	4	"2001/02/23"
"218429"	772248	293646	5	"2001/03/09"
"279087"	802074	203521	4	"2001/03/23"
"257355"	789957	307583	4	"2001/08/05"
"46164"	968396420	205621	5	"2002/01/05"
"47032"	991792772	1604161412	3	"2001/03/19"
"61246"	729166	560387	5	"2001/08/16"
"36748"	831426180	241496	4	"2001/05/17"
"221105"	773364	243284	4	"2001/10/30"
"107074"	2273873540	284493	5	"2001/09/12"
"259488"	791203	337504	5	"2001/08/05"
"82372"	1607765636	515078	5	"2001/09/28"
"108355"	2328202884	415509	5	"2001/09/12"
"263246"	793174	617733	5	"2001/06/21"
"176797"	758186	333720	5	"2001/02/05"
"104977"	2201980548	323666	5	"2001/09/12"
"251602"	787388	450713	5	"2001/04/01"
"144727"	749636	523358	5	"2002/05/11"
"234218"	778823	345803	4	"2001/01/31"
"234453"	778930	261632	5	"2001/01/31"
"19105"	460885636	1412206468	5	"2001/05/18"
"53733"	1141804676	539856	5	"2001/08/16"
"84159"	1648332420	301080	4	"2001/10/30"
"248830"	786151	310189	3	"2001/04/01"
"186469"	762721	216482	4	"2001/09/28"
"83620"	1637650052	236481	5	"2001/10/30"
"281844"	804099	345721	5	"2001/02/06"
"296723"	811146	232924	5	"2001/03/08"
"253004"	788015	285020	4	"2001/01/31"
"114050"	740212	380803	4	"2001/07/13"
"290767"	808560	206843	5	"2001/01/22"
"117612"	742491	249990	5	"2001/07/13"
"59496"	728567	210412	5	"2002/02/16"
"276548"	800064	533234	4	"2001/11/15"
"134876"	3002044036	210495	5	"2001/06/06"
"163166"	754260	491968	5	"2001/06/20"
"62510"	729729	415506	5	"2001/08/16"
"273729"	799014	248520	5	"2001/11/15"
"12688"	345804420	290331	5	"2001/03/15"
"128633"	2795540100	210495	3	"2001/02/11"
"226856"	775944	290891	5	"2002/07/31"
"17822"	418745988	315967	5	"2001/05/18"
"292507"	809135	300364	4	"2001/01/22"
"30588"	703696516	238863	5	"2001/08/23"
"14338"	721389	238250	5	"2001/03/15"
"174176"	3946155652	413254	3	"2002/04/10"
"249904"	786661	201915	5	"2001/04/01"
"221786"	773679	314906	5	"2001/10/30"
"288741"	807496	204441	3	"2001/08/21"
"205339"	768125	264024	4	"2002/02/14"
"135473"	3032845956	438874	5	"2001/06/06"
"87883"	1803783812	203288	5	"2001/07/31"
"261217"	792175	536828	4	"2001/08/05"
"142505"	748811	233600	5	"2001/04/10"
"261829"	792477	408421	5	"2001/06/21"
"291367"	808750	204441	5	"2001/01/22"
"169086"	3882389124	223418	5	"2001/09/07"
"150787"	752121	2656014212	5	"2001/01/24"
"143194"	749074	446576	5	"2001/08/22"
"103774"	2160889476	253291	5	"2001/08/30"
"174132"	3945041540	218137	5	"2002/04/10"
"89663"	734653	308657	4	"2001/01/21"
"137645"	3091107460	241261	5	"2001/03/28"
"218068"	772135	588197	5	"2001/03/09"
"130824"	2900397700	243427	5	"2002/03/10"
"77330"	732355	210284	5	"2001/03/23"
"266566"	794977	418407	4	"2002/02/15"
"36876"	833982084	323727	4	"2003/04/28"
"17576"	409702020	248520	4	"2001/05/18"
"85330"	1698664068	399055	5	"2001/05/05"
"133059"	746915	294369	4	"2001/04/19"
"226707"	775933	233068	5	"2002/07/31"
"272717"	798571	550413	5	"2001/09/28"
"39116"	726622	289843	5	"2003/05/15"
"265335"	794374	243762	5	"2001/06/21"
"275403"	799621	294879	5	"2001/11/15"
"209331"	769195	292702	5	"2001/02/23"
"276996"	800453	346537	4	"2001/11/15"
"237470"	780219	440748	5	"2001/02/04"
"283563"	805332	246291	4	"2002/09/15"
"295852"	810630	295491	5	"2001/10/05"
"182297"	761408	491968	2	"2002/02/18"
"55603"	1184992900	206045	5	"2001/02/09"
"159127"	3780284036	326839	5	"2001/11/15"
"89768"	734719	320093	5	"2001/01/21"
"250508"	786927	433727	4	"2001/04/01"
"56892"	1217760900	345500	5	"2001/03/16"
"4347"	251760260	312825	5	"2001/03/29"
"175322"	757444	679952	5	"2001/03/16"
"23047"	723388	257170	5	"2001/09/18"
"134147"	747665	386644	5	"2001/04/19"
"72190"	1417514628	210284	5	"2003/05/26"
"218833"	772479	367837	5	"2001/03/09"
"11958"	330665604	380175	5	"2001/10/29"
"57592"	1234407044	261079	5	"2001/02/09"
"284422"	805623	261374	5	"2002/09/15"
"88189"	1820429956	304270	5	"2001/07/31"
"15429"	360484484	241374	5	"2001/03/15"
"65794"	730855	497285	5	"2001/09/06"
"274959"	799431	216022	4	"2001/11/15"
"173780"	757197	330927	3	"2002/04/10"
"174992"	3977023108	448594	3	"2001/03/16"
"261231"	792181	453842	5	"2001/08/05"
"173079"	756981	302584	5	"2001/07/18"
"160655"	752764	580028	5	"2001/06/20"
"281898"	804149	575767	5	"2001/02/06"
"111819"	738760	338015	5	"2001/04/20"
"106710"	2257030788	206437	5	"2001/09/12"
"80687"	734160	315973	3	"2001/09/28"
"253020"	788026	233068	5	"2001/01/31"
"56911"	1217760900	288445	5	"2001/03/16"
"83327"	1632734852	204358	5	"2001/10/30"
"201015"	767089	342187	5	"2002/02/14"
"189828"	763906	434252	5	"2001/08/04"
"177282"	758337	276792	5	"2002/06/29"
"256067"	789412	311271	5	"2001/08/05"
"118320"	742728	244271	5	"2001/07/13"
"297241"	811491	526936	5	"2001/03/08"
"126768"	745819	210495	5	"2001/05/13"
"84191"	1648660100	372171	3	"2001/10/30"
"98851"	2032963204	202207	5	"2001/01/18"
"217214"	771973	1000247172	4	"2001/03/09"
"112547"	739229	396144	5	"2001/03/07"
"205733"	768272	562458	5	"2002/02/14"
"74927"	1498189444	204780	5	"2001/05/07"
"49682"	1053527684	264399	5	"2001/02/07"
"274783"	799399	525102	5	"2001/11/15"
"216109"	771766	301797	5	"2001/03/09"
"225690"	775517	206437	4	"2002/07/31"
"171385"	756162	253291	5	"2001/09/07"
"213562"	770832	369582	5	"2001/03/09"
"171315"	756162	233472	5	"2001/09/07"
"211861"	770243	267936	5	"2001/02/23"
"170385"	3922497156	222557	4	"2001/09/07"
"170766"	3925446276	312291	5	"2001/09/07"
"223801"	774542	218781	4	"2001/02/07"
"282781"	804949	229318	5	"2001/02/06"
"172420"	756687	266406	4	"2001/07/18"
"276147"	799949	3201142660	5	"2001/11/15"
"23933"	539266692	231460	5	"2001/09/18"
"272001"	798208	458095	5	"2001/09/28"
"226052"	775681	436590	5	"2002/07/31"
"226347"	775826	487467	5	"2002/07/31"
"201882"	767337	397736	5	"2002/02/14"
"81971"	1591053956	365973	4	"2001/09/28"
"7815"	720316	432466	4	"2001/01/21"
"224832"	775072	241362	5	"2001/02/07"
"38889"	726588	356034	5	"2003/05/15"
"295602"	810448	311641	5	"2001/10/05"
"184339"	762190	301950	5	"2001/09/28"
"111118"	738346	282012	5	"2001/04/20"
"136355"	3046936196	319864	5	"2001/03/13"
"25436"	602640004	415509	5	"2001/06/29"
"144389"	749544	234283	5	"2002/05/11"
"41812"	727688	243659	5	"2003/06/14"
"136373"	3048050308	365973	4	"2001/03/13"
"171035"	756071	272378	5	"2001/09/07"
"257505"	790016	486136	5	"2001/08/05"
"54500"	1155174020	2240712580	4	"2001/02/09"
"68623"	1297387140	327612	5	"2001/09/06"
"59161"	728434	257650	5	"2001/02/21"
"20435"	504663684	363231	5	"2001/05/22"
"298199"	4136734340	408618	3	"2001/03/08"
"1320"	177639044	533229	5	"2001/03/29"
"232830"	778124	516028	4	"2001/01/31"
"210970"	769831	409591	5	"2001/02/23"
"80434"	734129	502205	4	"2001/09/28"
