V1	V2	V3	V6
867602052	341013	5	2003/06/14
3629026948	1558351748	5	2001/04/20
2069401220	222066	5	2001/01/18
3110178436	252301	5	2001/01/18
767699	311513	5	2002/02/14
531598980	210284	5	2001/09/18
383880836	434043	4	2001/03/15
3566767748	237120	5	2001/03/29
763213	210284	5	2001/08/04
709856900	210495	3	2001/08/23
1373015684	719308	5	2001/03/27
1852280452	346777	5	2001/07/31
721115	323666	5	2001/03/15
1571131012	346777	3	2001/09/28
781656	233142	5	2001/02/04
1155174020	512909	5	2001/02/09
744996	322822	5	2001/05/13
1825017476	533229	5	2001/07/31
3142094468	288753	5	2001/01/18
405966468	238250	5	2001/03/15
724974	295723	5	2002/07/13
3881340548	263022	5	2001/09/07
758877	323881	2	2003/06/02
726618	372535	5	2003/05/15
2647494276	231243	5	2001/03/19
765351	418534	5	2001/04/17
768258	242696	5	2002/02/14
2400161412	558451	5	2001/04/20
291278468	499932	5	2001/04/10
737849	297788	3	2001/02/17
729150	247388	5	2001/08/16
1299222148	233600	5	2001/09/06
720586	210284	5	2001/08/20
770840	210284	5	2001/03/09
987401860	330927	3	2001/03/19
2723384964	372535	5	2001/05/13
725215	238050	3	2001/08/23
749203	435967	5	2001/08/22
763863	562458	5	2001/08/04
731666	534929	5	2001/09/06
768985	261568	5	2001/02/23
756948	349421	5	2001/07/18
640585348	210284	5	2001/11/29
1972932228	365973	5	2001/01/18
732333	250895	5	2001/03/23
766430	437158	5	2001/10/06
1683721860	207041	5	2001/05/05
1636011652	256303	5	2001/10/30
3704589956	319000	5	2001/11/15
1985121924	260558	5	2001/01/18
237670020	199837	5	2001/03/29
2252443268	396581	4	2001/09/12
3909389956	211554	4	2001/09/07
2018020996	270572	5	2001/01/18
564563588	333720	4	2001/09/18
736487	312171	5	2001/01/26
767595	342024	5	2002/02/14
734960	350063	5	2001/06/16
825855620	533854	5	2001/06/13
757707	221781	5	2001/03/16
2064289412	1568706436	5	2001/01/18
730981	278257	5	2001/09/06
767049	599574	5	2002/02/14
3893464708	241374	5	2001/09/07
2228326020	426834	5	2001/09/12
3813510788	205464	5	2001/09/07
727250	614402	5	2003/05/15
3230436996	410814	5	2001/08/20
1632079492	301797	5	2001/10/30
624463492	203772	5	2001/11/29
766784	401711	5	2001/10/06
721884	233297	3	2001/03/15
754678	222804	5	2001/06/20
2071826052	1532923780	5	2001/01/18
1866501764	204526	5	2001/07/31
772030	289725	5	2001/03/09
769119	367837	5	2001/02/23
779193	237829	5	2001/01/31
2529463940	262981	5	2001/05/08
1648070276	266240	4	2001/10/30
762190	345022	5	2001/09/28
764306	533639	5	2001/06/21
3545140868	242696	5	2001/03/29
754059	285907	5	2001/06/20
2522910340	347156	5	2001/05/08
780030	461876	5	2001/02/04
1449430660	441052	4	2001/10/15
725681	417557	3	2001/08/23
2510327428	282870	4	2001/05/08
1077710468	212234	5	2001/02/07
616926852	515078	5	2001/11/29
768219	245500	5	2002/02/14
726728	282870	3	2003/05/15
615222916	235766	5	2001/11/29
757709	260251	5	2001/03/16
3154218628	217293	5	2001/04/10
746617	499932	5	2001/04/19
778527	261882	5	2001/01/31
3097005700	253291	5	2001/03/28
772005	468091	5	2001/03/09
768086	265981	3	2002/02/14
728872	222557	5	2002/02/16
764590	267043	5	2003/01/03
4043935364	345500	2	2003/01/03
734573	202911	3	2001/01/21
3968372356	281871	3	2001/03/16
3082784388	280006	5	2001/03/28
1420922500	202050	5	2003/05/26
3971583620	218176	5	2001/03/16
757008	312037	5	2001/07/18
771949	468091	5	2001/03/09
2741603972	1558351748	5	2001/02/11
743962	418534	5	2001/05/13
473665156	231103	4	2001/05/18
729664	212234	5	2001/08/16
738320	346537	4	2001/04/20
756822	324994	5	2001/07/18
757067	336932	5	2002/04/10
2813824644	243427	4	2001/09/04
780264	407572	5	2001/02/04
3157888644	366376	5	2001/04/10
767075	389801	5	2002/02/14
771973	419598212	4	2001/03/09
764830	396144	4	2003/01/03
3825176196	322822	4	2001/09/07
656969348	206437	5	2001/11/29
744495	206843	4	2001/05/13
730852	278113	5	2001/09/06
1388482180	312810	5	2001/03/29
428379780	345803	5	2001/05/18
733237	200875	5	2001/08/24
759171	360183	5	2003/06/02
2800258692	705223	5	2001/02/11
355831428	262981	5	2001/03/15
766191	301306	4	2001/10/20
776492	269225	5	2001/01/31
927764100	236481	3	2001/06/21
776636	372535	5	2001/01/31
776340	297608	5	2002/07/31
777352	210870	4	2001/01/31
1866501764	201180	5	2001/07/31
763034	278646	5	2001/08/04
3923676804	301184	5	2001/09/07
722315	430023	5	2001/05/22
750930	311641	5	2001/03/07
765788	208923	5	2001/10/20
3754659460	1876397956	5	2001/11/15
768141	228061	5	2002/02/14
2552729220	293732	5	2001/05/08
766756	303757	4	2001/10/06
766784	536705	5	2001/10/06
774039	569572	5	2001/10/30
760222	525434	5	2003/06/02
774946	380526	3	2001/02/07
779308	232734	5	2001/01/31
1090424452	495905	5	2001/01/19
1637781124	210056	5	2001/10/30
748598	204204	5	2001/06/06
3946155652	236323	3	2002/04/10
745219	342047	5	2001/05/13
729874	216022	3	2001/08/16
753865	257987	4	2001/06/20
731013	200762	5	2001/09/06
622759556	229318	5	2001/11/29
3341717124	301949	5	2001/03/07
3133443716	468283	5	2001/01/18
1988660868	261183	5	2001/01/18
2828439172	210284	4	2002/03/10
2726989444	350626	4	2001/05/13
730234	217762	5	2001/09/06
3680603780	243081	5	2001/09/06
3587542660	255170	3	2001/11/28
740468	643786	5	2001/07/13
315330180	222663	5	2001/04/10
775183	321581	5	2001/02/07
779026	526785	2	2001/01/31
2139131524	247388	5	2001/08/30
778568	215938	5	2001/01/31
745882	205639	3	2001/05/13
2490076804	204945	3	2001/05/08
3684601476	440789	5	2001/11/15
857575044	253067	5	2003/04/28
2745142916	307076	5	2001/02/11
739963	200748	5	2001/07/13
743988	277533	4	2001/05/13
742856	569572	5	2001/07/13
421826180	203772	4	2001/05/18
756096	336184	4	2001/09/07
2022018692	266873	5	2001/01/18
767913	273807	5	2002/02/14
2900070020	293976	5	2002/03/10
776108	568046	5	2002/07/31
1395166852	249622	5	2001/03/29
736408	293646	4	2001/01/26
762401	312000	5	2001/09/28
767484	204506	4	2002/02/14
1736085124	353471	5	2001/04/18
651267716	315231	4	2001/11/29
721530	506137	5	2001/03/15
761212	210284	4	2002/02/18
738470	256063	4	2001/04/20
747192	204873	5	2001/04/19
758360	200595	5	2002/06/29
730189	222557	4	2001/09/06
761188	245500	5	2002/02/18
767337	366895	5	2002/02/14
748745	305504	5	2001/04/10
3485109892	405503	5	2001/03/29
787779204	216692	5	2001/05/11
2384105092	213509	5	2001/04/20
1388023428	248119	4	2001/03/29
752764	261079	5	2001/06/20
781957	360156	3	2001/02/04
733914	719409	2	2001/06/10
334663300	204204	5	2001/03/15
754158	262822	5	2001/06/20
764462	262919	5	2003/01/03
729238	206924	3	2001/08/16
539856516	336990	5	2001/09/18
3479277188	301950	5	2001/03/29
1871482500	207985	5	2001/01/21
3568995972	253291	5	2001/11/28
760240	555781	5	2003/06/02
3239677572	210284	2	2001/08/20
723643	204873	5	2002/01/13
350129796	288418	5	2001/03/15
2327285380	210284	3	2001/09/12
2859830916	209674	4	2002/03/10
764146	200500	5	2001/08/04
2900070020	496620	5	2002/03/10
769647	297335	5	2001/02/23
764301	241362	4	2001/04/27
4033646212	239964	5	2003/06/02
763940	405871	5	2001/08/04
748994	335933	5	2001/04/10
2322370180	241261	5	2001/09/12
1173130884	237489	4	2001/02/09
740191	241562	5	2001/07/13
2647363204	234901	2	2001/03/19
789810820	200762	5	2001/05/11
3831402116	239232	5	2001/09/07
775891	3180695428	5	2002/07/31
768943	391008	5	2001/02/23
731661	221784	5	2001/09/06
729729	483860	5	2001/08/16
2926153348	336753	5	2002/03/10
954830468	528728	4	2001/03/29
776043	307583	4	2002/07/31
2122747524	201583	4	2001/08/30
1074499204	242696	5	2001/02/07
2334363268	210284	5	2001/09/12
742124	502242	3	2001/07/13
775933	210762	2	2002/07/31
764252	302684	5	2001/08/04
741134	372171	5	2001/07/13
3866005124	237120	5	2001/09/07
3318189700	210284	2	2001/10/30
766628	222557	5	2001/10/06
753952	312171	5	2001/06/20
2210696836	1532923780	5	2001/09/12
3901525636	294288	5	2001/09/07
729125	626193	5	2001/08/16
196972164	238050	5	2001/03/29
778050	262868	5	2001/01/31
3208679044	253361	5	2001/04/10
777265	490007	5	2001/01/31
777745	518569	4	2001/01/31
3155267204	203032	2	2001/04/10
3645410948	212893	4	2001/04/20
776881	3137834884	4	2001/01/31
764078	277201	5	2001/08/04
3112799876	257816	5	2001/01/18
771090	210284	4	2001/03/09
789810820	323374	5	2001/05/11
3719204484	263022	4	2001/11/15
756480	234885	5	2001/08/23
2028703364	335933	3	2001/01/18
1150258820	251891	3	2001/02/09
2824507012	288565	5	2002/03/10
767361	202559	5	2002/02/14
1814269572	366089	2	2001/07/31
1016368772	228845	5	2001/03/19
1808240260	304270	5	2001/07/31
2109640324	210495	3	2001/08/30
1715113604	249622	5	2001/05/05
730870	210284	5	2001/09/06
3029896836	256232	3	2001/06/06
768825	398870	5	2002/02/14
358846084	338015	5	2001/03/15
771018	210284	5	2001/03/09
768943	296665	5	2001/02/23
1438813828	210284	4	2002/07/31
737195	452353	5	2001/01/26
776680	243427	5	2001/01/31
726155	322397	5	2001/08/23
728210	306566	5	2001/06/21
2139131524	346777	5	2001/08/30
750101	222557	5	2001/08/20
1941933700	364668	5	2001/01/18
776152	339838	5	2002/07/31
1232703108	257386	5	2001/02/09
1727630980	201535	5	2001/05/05
763864	558451	4	2001/08/04
777206	231460	5	2001/01/31
254774916	203483	4	2001/03/29
743239	258703	5	2001/07/13
3314126468	1558351748	5	2001/10/30
3093794436	202911	4	2001/03/28
2370276996	416547	5	2001/04/20
1200131716	248612	5	2001/02/09
1280085636	210284	5	2001/09/06
575377028	262099	4	2001/06/29
1407618692	816222084	5	2001/03/29
2786889348	237120	5	2001/02/11
765602	284094	4	2001/10/20
3680079492	420738	5	2001/09/06
754072	292206	5	2001/06/20
737750	376706	5	2001/02/17
2030472836	523233	5	2001/01/18
419335812	210284	5	2001/05/18
3918958212	206437	5	2001/09/07
774039	256175	5	2001/10/30
2450034308	1416204164	5	2001/07/13
923176580	201359	5	2001/06/21
2847641220	204506	5	2002/03/10
767074	205639	4	2002/02/14
2216332932	173510532	5	2001/09/12
668110468	527903	5	2001/11/29
371953284	290625	5	2001/03/15
2303168132	368725	5	2001/09/12
769195	305352	5	2001/02/23
728898	603590	4	2002/02/16
239570564	324994	2	2001/03/29
769709	247388	5	2001/02/23
749032	200118	5	2001/08/22
730204	224917	4	2001/09/06
703696516	207793	5	2001/08/23
773861	412101	4	2001/10/30
741614	344812	5	2001/07/13
721932	223559	5	2001/03/15
730122	262195	5	2001/09/06
729150	527903	5	2001/08/16
772135	313548	5	2001/03/09
859934340	420738	5	2003/04/28
2270596740	210495	5	2001/09/12
728716	234953	5	2002/02/16
725149	360187	5	2002/07/13
774870	423717	5	2001/02/07
757444	216631	5	2001/03/16
737926	453486	5	2001/04/20
773612	240057	4	2001/10/30
2325122692	1471909764	5	2001/09/12
770440	311271	4	2001/02/23
736590	364668	5	2001/01/26
724874	351524	3	2001/02/22
185241220	301184	5	2001/03/29
741120	245500	4	2001/07/13
413699716	315231	5	2001/05/18
733427	408356	2	2001/02/06
609324676	483860	5	2001/06/29
770499	210964	4	2001/02/23
2965147268	2515308420	5	2002/03/10
720432	497285	5	2001/01/21
1087868548	356483	4	2001/02/07
2018020996	396581	5	2001/01/18
750344	293121	5	2001/08/20
3923676804	222557	5	2001/09/07
1873186436	289842	5	2001/01/21
491228804	450803	5	2001/05/22
734095	300458	5	2001/09/28
755665	306568	5	2001/06/20
766348	310721	5	2001/10/06
769119	288418	5	2001/02/23
1767673476	1723502468	5	2001/07/31
779672	3013644164	5	2001/02/04
740246	299602	5	2001/07/13
3133443716	394804	5	2001/01/18
1148751492	292517	5	2001/02/09
724934	291121	5	2001/02/22
730854	300458	5	2001/09/06
777553	494209	5	2001/01/31
2323091076	205621	5	2001/09/12
3579022980	233472	4	2001/11/28
174689924	242030	5	2001/03/29
760787	334840	5	2003/06/02
778478	312810	5	2001/01/31
737190	353279	5	2001/01/26
764972	304137	5	2003/01/03
777559	321708	5	2001/01/31
3746270852	234885	4	2001/11/15
2647494276	238687	5	2001/03/19
236228228	447008	4	2001/03/29
765805	316409	5	2001/10/20
734077	496620	5	2001/09/28
3081080452	277533	5	2001/03/28
719931	265056	4	2002/02/17
781684356	293178	5	2001/05/11
719956	369013	5	2002/02/17
1068797572	238687	5	2001/02/07
745456	450703	5	2001/05/13
758369	204549	5	2002/06/29
756159	382117	5	2001/09/07
722132	210789	4	2001/05/22
1141673604	290331	4	2001/08/16
1566805636	231385	5	2001/09/28
181571204	246386	5	2001/03/29
748843	523647	5	2001/04/10
3672018564	212893	3	2001/09/06
2109378180	492102	5	2001/08/30
721170	238687	5	2001/03/15
758337	302583	5	2002/06/29
241208964	236296	5	2001/03/29
721950	1941213060	5	2001/03/15
3704786564	392393	5	2001/11/15
866815620	1604161412	5	2003/06/14
780030	442902	5	2001/02/04
1191677572	248612	5	2001/02/09
775530	209220	5	2002/07/31
722449	241374	5	2001/07/11
728449	243213	5	2001/02/21
738287	468091	5	2001/04/20
765240	513158	4	2003/01/03
1274777220	213623	5	2001/09/06
1951960708	549799	3	2001/01/18
765684	477350	5	2001/10/20
730006	210752	5	2001/09/06
2022674052	246613	5	2001/01/18
2057342596	337542	5	2001/01/18
1683590788	1640730500	5	2001/05/05
1172147844	344972	5	2001/02/09
3490352772	346537	5	2001/03/29
1234407044	301396	5	2001/02/09
767045	368762	5	2002/02/14
769763	234861	5	2001/02/23
1056411268	206837	5	2001/02/07
1882492548	312810	2	2001/01/26
731387	262195	5	2001/09/06
3830877828	312810	4	2001/09/07
764966	216482	5	2003/01/03
767419	238661	5	2002/02/14
1421119108	205068	5	2003/05/26
504663684	315436	5	2001/05/22
773528	379428	5	2001/10/30
1868664452	259441	5	2001/01/21
1607044740	310391	5	2001/09/28
968199812	261908	2	2002/01/05
1074761348	382117	5	2001/02/07
1232703108	241362	5	2001/02/09
761669	405503	5	2002/02/18
775368	255202	4	2001/02/07
4027158148	3190198148	5	2003/06/02
733830	201226	5	2001/06/10
741307	205068	4	2001/07/13
724590	439733	5	2001/11/29
1909493380	352414	4	2001/02/17
3398667908	538598	5	2001/03/07
2012712580	372552	5	2001/01/18
278761092	292019	5	2001/10/27
198348420	210056	5	2001/03/29
770607	496741	5	2001/08/22
2113113732	201583	5	2001/08/30
4030500484	239906	5	2003/06/02
742491	422336	5	2001/07/13
735117	408307	5	2001/06/16
747733	234370	5	2001/04/19
732616	206437	5	2001/03/23
1923124868	365973	4	2001/02/17
725199	294947	5	2002/07/13
739229	432466	4	2001/03/07
241208964	267023	5	2001/03/29
1645252228	208370	5	2001/10/30
2080214660	372346	4	2001/10/28
757182	292580	2	2002/04/10
2783743620	576742	4	2001/02/11
756981	292211	5	2001/07/18
434736772	366895	5	2001/05/18
724936	336990	3	2001/02/22
775510	450803	5	2001/02/07
2938277508	282870	3	2002/03/10
773916	285896	5	2001/10/30
1230802564	201915	5	2001/02/09
770886	416767	4	2001/03/09
776124	269964	5	2002/07/31
354389636	201359	5	2001/03/15
753014	303971	5	2001/06/20
764590	580028	5	2003/01/03
249532036	228845	4	2001/03/29
3899297412	496579	5	2001/09/07
775145	370647	5	2001/02/07
769476	200396	5	2001/02/23
736372	2126614404	5	2001/01/26
1012633220	203772	5	2001/03/19
726083	371087	5	2001/08/23
761192	267213	5	2002/02/18
2030472836	352734	5	2001/01/18
773355	368762	5	2001/04/23
785747588	293646	5	2001/05/11
768593	539194	5	2002/02/14
3402403460	612972	2	2001/03/07
200576644	618131	4	2001/03/29
477597316	232734	5	2001/03/27
722882	206045	5	2001/07/11
3157823108	410002	5	2001/04/10
737664	398870	5	2001/02/17
757795	502205	5	2001/03/16
756620	446576	5	2001/08/23
729054	281484	2	2001/08/16
2323746436	320719	5	2001/09/12
722343	443503	4	2001/07/11
1039568516	220891	5	2001/05/20
723624	294260	5	2001/09/18
758455	206437	5	2003/06/02
1515753092	485165	5	2002/03/10
766630	285020	5	2001/10/06
750221	243192	5	2001/08/20
742065	210284	5	2001/07/13
3959197316	336990	5	2002/04/10
754843	222004	5	2001/06/20
775933	719394	5	2002/07/31
3129577092	321190	5	2001/01/18
760002	206437	5	2003/06/02
762470	324035	5	2001/09/28
726155	262981	5	2001/08/23
1284279940	210284	5	2001/09/06
3873083012	206437	5	2001/09/07
1220513412	260558	5	2001/03/16
1423740548	392230	4	2003/05/26
3557920388	204526	5	2001/03/29
2116718212	650612612	5	2001/08/30
3734605444	296904	5	2001/11/15
1473285764	210284	4	2001/01/26
764513924	231292	5	2001/05/11
765356	301396	5	2001/04/17
768413	210284	3	2002/02/14
735068	367601	4	2001/06/16
1205046916	462625	5	2001/02/09
762282	248119	4	2001/09/28
767270	515990	5	2002/02/14
755669	293121	5	2001/06/20
729046	262981	4	2001/08/16
772119	323913	5	2001/03/09
2115473028	418988	5	2001/08/30
748297	401711	5	2001/06/06
774565	692436	5	2001/02/07
749199	238687	5	2001/08/22
740787	262981	5	2001/07/13
769232	301006	5	2001/02/23
3147665028	269106	5	2001/04/10
2902101636	222557	5	2002/03/10
735344	393634	5	2001/06/16
756948	277548	5	2001/07/18
778086	299917	4	2001/01/31
1850576516	319609	5	2001/07/31
750965	342046	5	2001/03/07
3143339652	483860	4	2001/04/10
739445	575499	5	2001/03/07
1205374596	279016	4	2001/02/09
213618308	253361	5	2001/03/29
2198638212	210284	4	2002/12/24
3082391172	202207	5	2001/03/28
735808	202911	3	2001/01/26
724407	338015	5	2001/06/29
754072	502205	5	2001/06/20
774248	298724	5	2001/02/07
760002	342961	5	2003/06/02
4030500484	239871	4	2003/06/02
767671	469252	5	2002/02/14
902270596	370720	4	2001/04/04
764392	372535	5	2003/01/03
740738	355314	5	2001/07/13
3014102660	230938	5	2001/06/06
2246741636	201226	4	2001/09/12
742856	312000	5	2001/07/13
3048771204	241636	5	2001/03/13
1338216068	209481	5	2001/09/06
769144	494729	5	2001/02/23
1572179588	356483	5	2001/09/28
766268	234388	5	2001/10/20
1684573828	210284	5	2001/05/05
756686	502205	4	2001/07/18
765569	243014	4	2001/10/20
761003	276792	5	2003/06/02
942706308	295723	3	2001/06/21
2121633412	575612	5	2001/08/30
1228967556	516453	5	2001/03/16
773503	350765	3	2001/10/30
2534379140	325296	5	2001/05/08
731158	533229	5	2001/09/06
721611	210362	5	2001/03/15
777559	611213	5	2001/01/31
2229833348	362623	5	2001/09/12
764110	342772	5	2001/08/04
766792	360588	5	2001/10/29
774102	279544	4	2001/10/30
746833	530381	5	2001/04/19
3213135492	233481	5	2001/04/10
387157636	429527	5	2001/03/15
2515439236	351524	3	2001/05/08
729499	288418	4	2001/08/16
763479	302684	5	2001/08/04
740679	281871	5	2001/07/13
729729	269393	5	2001/08/16
765142	204273	4	2003/01/03
3384577668	236850	3	2001/03/07
781252	588197	4	2001/02/04
736895	258703	3	2001/01/26
759188	504388	5	2003/06/02
754097	451811	4	2001/06/20
776198	255548	4	2002/07/31
762543	262517	5	2001/09/28
1505136260	218486	5	2002/03/10
764607	236575	5	2003/01/03
1542295172	320093	5	2002/03/10
758374	216022	5	2002/06/29
765833	257170	5	2001/10/20
1390317188	257471	5	2001/03/29
181833348	203270	5	2001/03/29
721172	242696	5	2001/03/15
389975684	241729	5	2001/03/15
2562428548	199781	5	2001/05/08
212962948	222705	5	2001/03/29
1613926020	222557	5	2001/09/28
2322370180	332261	5	2001/09/12
769822340	210284	5	2001/05/11
733298	300364	5	2001/10/28
727320	231460	5	2003/05/15
2089520772	293732	5	2001/10/28
764733	307547	5	2003/01/03
1164938884	210284	5	2001/02/09
1058246276	322132	5	2001/02/07
767938	243659	4	2002/02/14
724099	279109	5	2001/06/29
2742259332	265981	4	2001/02/11
760213	515630	5	2003/06/02
754072	200903	5	2001/06/20
734145	496579	5	2001/09/28
724445	298184	5	2001/06/29
294751876	265056	5	2001/04/10
740945	336990	5	2001/07/13
1094487684	228194	5	2001/01/19
762269	293976	4	2001/09/28
748297	310601	5	2001/06/06
1232703108	206437	5	2001/02/09
249532036	203288	5	2001/03/29
2751106692	200595	4	2001/02/11
2598538884	437448	3	2001/03/19
739801	246616	5	2001/07/13
762470	299602	5	2001/09/28
727824	204780	5	2001/04/14
732510	300458	5	2001/03/23
4005138052	237120	5	2001/02/05
827166340	301797	5	2001/06/13
721108	380658	2	2001/03/15
727070	303639	5	2003/05/15
1460178564	300458	5	2001/10/15
501845636	444057	5	2001/05/22
2113834628	204549	5	2001/08/30
773708	390070	5	2001/10/30
725245	202911	3	2001/08/23
764529	314669	5	2003/01/03
723680	200595	5	2002/01/13
2303626884	210284	5	2001/09/12
731687	525524	5	2001/09/06
1193578116	285020	5	2001/02/09
2336198276	380170	5	2001/09/12
1729072772	210284	4	2001/04/18
268471940	349043	5	2001/03/29
2068024964	412496	5	2001/01/18
1637650052	594371	5	2001/10/30
2813824644	301949	5	2001/09/04
771754	216198	4	2001/03/09
722307	216022	4	2001/05/22
720793	231460	5	2001/04/10
766123	406527	5	2001/10/20
731831	249446	5	2001/09/06
762713	2715848580	4	2001/09/28
3472526980	448594	4	2001/03/29
1542295172	267213	5	2002/03/10
2257292932	203270	4	2001/09/12
781901	243123	4	2001/02/04
772904	463968	4	2001/03/09
773061	324369	5	2001/04/23
777332	447127	5	2001/01/31
619744900	286861	3	2001/11/29
724256	216191	4	2001/06/29
1126665860	426066	4	2001/01/23
757008	212893	5	2001/07/18
1730842244	206045	5	2001/04/18
749364	252302	5	2002/05/11
752093	420098	2	2001/01/24
3384577668	310391	5	2001/03/07
2393869956	200748	3	2001/04/20
764246	403435	5	2001/08/04
759101	560141	5	2003/06/02
843419268	237120	5	2003/04/28
213880452	204204	5	2001/03/29
735151	234901	3	2001/06/16
761527	332713	3	2002/02/18
768256	238250	5	2002/02/14
771070	301950	5	2001/03/09
3220541060	333720	5	2001/04/10
474320516	1640730500	5	2001/05/18
1141673604	263427	4	2001/08/16
729042	335034	4	2001/08/16
1951567492	319609	5	2001/01/18
754262	307351	5	2001/06/20
760739	240413	4	2003/06/02
2955185796	219009	4	2002/03/10
1092456068	2227867524	4	2001/01/19
721389	309398	5	2001/03/15
2071826052	205491	5	2001/01/18
777265	665995	5	2001/01/31
768034	242030	5	2002/02/14
3124596356	256232	5	2001/01/18
761268	344348	5	2002/02/18
720925	282884	5	2001/04/10
769109	238687	5	2001/02/23
773016	351084	5	2001/03/09
726547	413254	5	2003/05/15
777559	396113	5	2001/01/31
1997311620	232535	5	2001/01/18
736175	542627	5	2001/01/26
764812	294757	5	2003/01/03
775891	245939	5	2002/07/31
767421	279544	5	2002/02/14
774248	688868	5	2001/02/07
1022332548	335034	5	2001/03/19
750688	295491	4	2001/03/07
764633	418534	3	2003/01/03
768478	245500	4	2002/02/14
731886	200500	4	2001/09/06
742646	207186	5	2001/07/13
226266756	210284	2	2001/03/29
1470992004	210284	5	2001/01/26
761886	533229	5	2001/09/28
738325	1559465860	5	2001/04/20
297111172	511280	5	2001/04/10
739358	210411	5	2001/03/07
737075	289843	5	2001/01/26
721743	526523	5	2001/03/15
768034	285020	5	2002/02/14
764898	299603	5	2003/01/03
771819	303971	4	2001/03/09
726028	414859	5	2001/08/23
752764	261562	5	2001/06/20
362385028	235971	5	2001/03/15
1857654404	293646	5	2001/07/31
3846672004	396144	5	2001/09/07
3817639556	470573	5	2001/09/07
3488845444	301949	5	2001/03/29
775076	496620	5	2001/02/07
970493572	508656	5	2002/01/05
2988281476	1640730500	5	2001/04/19
764590	201200	5	2003/01/03
1498123908	259441	5	2001/05/07
1242533508	296904	5	2001/02/09
741844	248612	5	2001/07/13
773430	3175583620	5	2001/10/30
1077120644	204621	5	2001/02/07
751956	576742	4	2001/03/07
739963	210412	5	2001/07/13
771902	400263	5	2001/03/09
771145	285868	5	2001/03/09
3944058500	248119	5	2002/04/10
1414041220	216193	5	2001/08/23
752462	277629	5	2001/06/20
763034	542885	5	2001/08/04
738890	200595	5	2001/04/20
767128	380526	5	2002/02/14
738354	301797	5	2001/04/20
724937	426286	5	2001/02/22
770335	212365	5	2001/02/23
1158909572	282870	5	2001/02/09
353537668	222804	5	2001/03/15
766811	301797	5	2001/10/29
767861	427320	5	2002/02/14
752045	461876	4	2001/03/07
781351	498609	5	2001/02/04
3780284036	270717	5	2001/11/15
751939	315436	5	2001/03/07
760843908	593137540	5	2001/05/11
3032845956	241578	5	2001/06/06
771917	364668	5	2001/03/09
917147268	419622	4	2001/06/21
746891	277804	5	2001/04/19
773361284	315657	5	2001/05/11
3152055940	492102	5	2001/04/10
762258	245500	4	2001/09/28
3169816196	238687	5	2001/04/10
766898	372535	4	2001/10/29
753003	518390	5	2001/06/20
755027	232075	5	2001/06/20
742360	296760	5	2001/07/13
3634400900	212893	4	2001/04/20
780457	461876	5	2001/02/04
1009028740	338291	5	2001/03/19
758376	430252	5	2002/06/29
1307414148	257170	5	2001/09/06
3470888580	584748932	5	2001/03/29
3683421828	301396	5	2001/09/06
3744960132	246616	5	2001/11/15
2057604740	223559	5	2001/01/18
3691679364	257987	4	2001/11/15
243371652	219587	5	2001/03/29
739963	265056	5	2001/07/13
1509396100	279318	5	2002/03/10
773696	423717	5	2001/10/30
1603243652	561680260	3	2001/09/28
2865860228	256232	5	2002/03/10
3154218628	291706	5	2001/04/10
750461	363527	5	2001/03/07
737849	251891	5	2001/02/17
773679	313188	5	2001/10/30
779246	207186	4	2001/01/31
1058246276	301184	5	2001/02/07
744066692	253067	5	2001/08/23
3321794180	533229	5	2001/10/30
3358101124	336143	5	2001/03/07
833982084	1015910276	5	2003/04/28
1338347140	241261	5	2001/09/06
744273	351524	3	2001/05/13
761888	620982	5	2001/09/28
771139	338015	5	2001/03/09
327650948	394804	5	2001/10/29
491228804	201915	4	2001/05/22
4033777284	3212087172	5	2003/06/02
3728117380	267632	4	2001/11/15
2405207684	262195	4	2001/04/20
768034	419622	5	2002/02/14
771369	206924	5	2001/03/09
721325700	260558	4	2001/08/23
772615	595316	5	2001/03/09
2078248580	221916	5	2002/02/17
1020628612	233481	5	2001/03/19
1130794628	268021	3	2001/01/25
2467532420	201805	5	2001/07/13
765837	538703	4	2001/10/20
3211759236	380175	5	2001/04/10
733670	238331	5	2001/02/06
770607	437158	5	2001/08/22
1022332548	534862	5	2001/03/19
2395901572	346486	5	2001/04/20
488607364	256175	5	2001/05/22
2890632836	204945	5	2002/03/10
768968	380175	5	2001/02/23
721764	216022	5	2001/03/15
767494	486816	5	2002/02/14
2216791684	399815	5	2001/09/12
768272	314669	5	2002/02/14
3109392004	700005	5	2001/01/18
856526468	238863	5	2003/04/28
724747	719342	5	2001/02/22
726183	453486	5	2001/08/23
748800	337542	5	2001/04/10
2028703364	237522	3	2001/01/18
177639044	1532923780	5	2001/03/29
776756	303971	5	2001/01/31
754972	257170	5	2001/06/20
765353	372200	5	2001/04/17
720476	448594	5	2001/08/20
414158468	296904	5	2001/05/18
2308411012	346282	5	2001/09/12
729578	285020	5	2001/08/16
755802	349421	5	2001/09/07
748160	368762	5	2001/06/06
759113	317856	5	2003/06/02
3483930244	302583	5	2001/03/29
179474052	2240712580	5	2001/03/29
770322	237489	5	2001/02/23
2496040580	264873	5	2001/05/08
3387395716	241729	5	2001/03/07
2955185796	497285	5	2002/03/10
777787	442453	5	2001/01/31
762280	336990	4	2001/09/28
823430788	209513	5	2001/06/13
2781318788	361404	4	2001/02/11
3815018116	223559	5	2001/09/07
3152907908	210284	3	2001/04/10
3063647876	390377	5	2001/03/13
